userId,movieId,rating,timestamp
339,52722,3.5,1460185329
454,3949,4.0,1279547168
501,141,5.0,844973419
608,2080,3.0,1117415527
368,160,2.0,975830276
590,46965,2.5,1267152337
81,329,4.0,845299677
217,2,2.0,955942327
608,1954,4.5,1117504516
525,1035,4.5,1476477806
66,5952,5.0,1093747320
414,2883,4.0,961437391
483,48385,4.0,1215544189
602,494,4.0,840876779
342,609,2.0,1042821145
315,914,3.0,939919700
380,5528,4.0,1494267391
121,110,4.0,847655980
378,8950,4.0,1445347890
93,2720,3.0,942946810
325,4848,4.0,1039396639
181,519,2.0,845470571
219,288,2.0,1194932062
213,4558,3.0,1316195073
588,592,2.0,839316049
93,2359,4.0,942766907
221,25841,4.5,1119984290
599,337,2.0,1498531957
349,357,4.0,834751235
380,4148,3.0,1494528256
187,47,4.0,1161850486
489,1729,4.0,1332774325
288,2788,4.0,976120173
122,3089,5.0,1461562948
221,34048,2.5,1121365127
111,88785,3.5,1516152915
387,52281,4.0,1176534534
68,3703,3.0,1230497931
140,350,3.0,949667416
200,913,4.0,1229876484
372,497,4.0,874415991
605,5481,3.0,1277097047
495,1263,4.0,1458635647
45,4886,5.0,1007483502
458,21,5.0,845653030
599,34148,3.0,1498525841
19,2261,2.0,965706636
496,7151,3.5,1415165842
610,4232,3.5,1479542821
162,266,4.0,836511289
414,6851,3.5,1065800107
354,50,4.5,1200869832
428,165,1.0,1111489756
186,2797,4.0,1031087604
474,5876,4.0,1059658500
551,2762,4.0,1504320898
64,4701,3.0,1161559669
610,16,4.5,1479542171
380,367,5.0,1494278653
212,85414,2.5,1490121419
72,2329,4.5,1217324969
474,2657,1.0,974666809
334,316,3.0,1234629922
599,2288,3.5,1519117275
448,912,4.5,1113129247
560,1111,3.5,1469677595
177,98961,3.5,1435529990
68,51255,4.0,1198454311
496,1221,4.0,1415166620
391,1947,4.0,1030945141
573,33794,4.5,1186589567
608,32587,5.0,1117162247
542,1073,5.0,1163386968
390,37729,5.0,1250341253
374,344,4.0,849089070
387,1250,4.0,1095040745
561,370,3.0,1491095469
5,110,4.0,847434880
381,78266,3.0,1278632735
298,3408,1.5,1447598147
590,2058,3.5,1258416857
305,1136,2.5,1463437043
298,4720,0.5,1447598212
408,41566,5.0,1467372474
606,5989,3.0,1232574627
56,457,4.0,835799162
448,8957,2.5,1224341045
580,2407,3.5,1167792704
387,8783,3.0,1146459430
39,2081,2.0,974789035
480,3911,3.0,1179160824
132,1270,3.5,1157921202
511,2959,5.0,1450093988
217,1855,3.0,955945068
282,3254,4.0,1378488967
448,2046,3.0,1019125353
600,260,4.0,1237714798
82,1876,2.5,1084463790
602,539,3.0,840875779
28,1222,4.0,1234338173
135,1220,4.0,1009693108
274,7802,4.0,1171932439
161,1093,4.0,1176498673
167,6480,3.0,1154722483
599,3755,2.5,1498516688
603,3004,1.0,954482713
275,2186,5.0,1049079168
167,8360,4.0,1154721836
244,3703,4.0,975075046
368,1597,3.0,971276156
419,296,5.0,1321659004
177,2694,2.5,1435534803
160,420,1.0,971115791
144,8873,5.0,1136813059
27,2080,4.0,965149710
318,27176,4.5,1422285289
428,589,2.5,1111489768
486,316,3.0,839537094
217,172,3.0,955941460
531,5349,5.0,1032961880
600,4748,1.0,1237761532
596,592,3.5,1535709911
104,2683,3.0,1048590064
599,7028,4.0,1519292151
294,1288,4.0,966595028
249,5010,3.5,1418081207
458,225,5.0,845652629
250,4921,5.0,1121217910
524,762,2.0,852404842
288,5378,3.5,1054568537
448,116419,1.5,1421591835
570,1307,3.5,1181477719
448,2291,3.0,1019137680
69,4370,2.0,1021645473
509,1907,4.0,1436000045
89,88069,4.0,1520409556
387,1529,2.5,1215758536
351,57669,3.5,1328642419
84,1380,4.0,860397426
131,969,3.5,1349840182
274,30793,2.5,1177013127
414,180031,4.0,1519592584
482,16,2.0,1105396054
62,27808,4.0,1525554894
69,1580,4.0,1021645562
599,27193,2.5,1498516765
263,6942,3.5,1090948274
356,4370,3.5,1229143565
135,663,4.0,1009691935
560,8361,2.5,1469650301
62,1221,5.0,1521488574
28,46578,2.0,1243837448
534,112580,4.0,1459787998
154,89745,5.0,1486297130
381,6863,5.0,1200824260
274,3033,3.5,1203473222
32,849,2.0,856736405
20,2100,3.5,1054036178
380,5094,3.0,1494267880
361,1047,3.5,1204040659
448,94011,1.5,1433704205
334,1196,4.0,1225477656
50,156607,1.0,1514240000
610,8874,5.0,1479542569
305,53953,4.0,1460136755
322,47,4.0,1217676246
89,136834,5.0,1520409019
252,152081,4.0,1498283951
517,82852,1.0,1487957376
571,2119,1.0,966901423
307,8641,4.0,1186085018
555,1663,4.0,978821265
448,6874,4.0,1067427681
187,26840,5.0,1161954440
149,589,3.0,902084874
387,7482,3.5,1094875872
564,3617,4.0,1478452366
112,223,1.5,1513989951
380,80363,2.5,1494708855
68,2006,4.0,1158532516
200,2617,4.0,1229887060
599,7419,3.5,1498501164
517,84847,0.5,1492339056
414,3252,5.0,961518066
599,2194,3.0,1498524487
57,1049,3.0,965795615
600,1673,3.5,1237859163
594,648,5.0,1109036667
599,71327,3.5,1498797401
84,381,4.0,858771861
448,4085,5.0,1019127444
151,1367,3.0,855947672
490,68954,3.5,1334940528
105,134849,4.0,1447574669
482,1610,4.0,1105395987
567,63859,2.5,1525287943
563,595,4.0,1439933444
177,1247,5.0,1435534239
36,1222,2.5,1100803585
28,47894,3.5,1234337674
524,541,5.0,851609310
139,68954,2.5,1453923981
93,1606,4.0,942946766
382,31685,3.5,1515175071
559,6,5.0,865095857
397,1953,4.5,1181966434
514,7891,3.0,1533945835
288,4036,3.0,994692544
362,1617,4.0,1530637301
298,4989,1.0,1479057899
479,4471,3.0,1039367679
66,3100,4.5,1113190015
603,1994,4.0,953925588
453,2353,2.0,972621867
590,4321,4.0,1258415334
28,1682,1.5,1242289815
135,2124,4.0,1009690765
298,8361,1.5,1449592148
448,127204,3.0,1465156246
436,474,4.0,833530400
111,97172,2.0,1516156129
534,71535,4.0,1459787998
586,27619,4.5,1529903475
68,1688,3.0,1269123527
222,733,3.0,1391353194
480,51662,4.0,1179160481
534,1831,3.5,1459795378
177,45950,4.0,1435525275
599,144,2.5,1519343783
608,6187,4.0,1117503217
103,1702,3.5,1431969755
19,186,2.0,965707724
607,3105,4.0,963080009
28,5577,2.0,1242289900
365,6155,4.0,1491088139
30,260,5.0,1500370339
95,3298,3.0,1043340283
282,2329,4.5,1378495649
599,3435,5.0,1519029386
603,4776,4.0,1002403253
610,3726,4.5,1479543116
294,3764,2.0,966597766
111,2572,4.0,1516153699
38,273,2.0,841341680
603,3019,5.0,953927590
332,5952,4.0,1352672152
58,168,5.0,847718992
198,923,5.0,1034134297
417,318,5.0,1529284254
414,4308,5.0,1016034211
199,1441,1.0,940380923
159,6942,4.5,1508641052
197,3072,4.0,947461020
524,2019,4.0,851609506
477,36535,4.5,1236496056
480,5483,3.5,1179162508
288,3771,3.0,976138069
